version,suite,task_id,cache_phase,success,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,first_event_ms,first_reasoning_ms,first_visible_ms,successful_attempt_ms,end_to_end_ms,retry_count,truncated,error_429,error_5xx,error_timeout,catalog_generation,catalog_digest,stable_prefix_digest,dynamic_suffix_digest,theoretical_reusable_tokens,tool_call_count,task_success,route_ok,false_no_skill_claim,explicit_skill_missed,visible_chars,visible_words,lines,paragraphs,list_items,markdown_headings,bold_spans
candidate,calibration,body_meta_step_base,,True,12648,1280,0,2,0,2322.397,,2322.397,2420.389,2420.402,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,0b5006f68cd682266d145f6bd52d77421bff33b8a5f5540947b751e062e7e0e4,7c62b3844d02ac28ecfbd70ba75c871693baa0863001ed3fa283a53b43488036,,0,,,,,2,1,1,1,0,0,0
candidate,calibration,body_meta_step,,True,14965,1280,0,2,0,1889.844,,1889.844,1988.032,1988.059,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,3797a6434fa760875c71e40c124bd9f002a29f74470efaa74b26cb8a17ba7a1c,0a467caac58b83b53ff7fc57f690dce955e9631ef4f92d3579df68e2381e62b0,,0,,,,,2,1,1,1,0,0,0
baseline,warmup,provider_cache,warmup,True,13299,128,0,3,0,2189.378,,2189.378,2246.24,2246.264,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,00f30947bff8e65c963c530a1ec847d805c3a59c984bfe0202f324ea0a94d74d,,0,,,,,5,1,1,1,0,0,0
candidate,warmup,provider_cache,warmup,True,12649,1152,0,3,0,1814.197,,1814.197,2062.569,2062.588,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,00f30947bff8e65c963c530a1ec847d805c3a59c984bfe0202f324ea0a94d74d,,0,,,,,5,1,1,1,0,0,0
baseline,micro,group_1,warm,True,13303,128,0,99,28,1626.233,1626.233,2685.083,4776.221,4776.248,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,c5a61a56ea45571a24d844473c28be7d6ed5fed4fa1aa7904671539c1677222b,,0,,,,,372,56,1,1,0,0,0
candidate,micro,group_1,warm,True,12653,1152,0,63,16,2222.529,2222.529,2537.368,3567.486,3567.512,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,c5a61a56ea45571a24d844473c28be7d6ed5fed4fa1aa7904671539c1677222b,,0,,,,,250,41,1,1,0,0,0
candidate,micro,group_1,warm,True,12653,12544,0,94,31,1228.151,1228.151,1516.21,2917.46,2917.471,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,c5a61a56ea45571a24d844473c28be7d6ed5fed4fa1aa7904671539c1677222b,,0,,,,,306,48,1,1,0,0,0
baseline,micro,group_1,warm,True,13303,13184,0,78,17,1107.827,1107.827,1506.237,2600.073,2600.091,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,c5a61a56ea45571a24d844473c28be7d6ed5fed4fa1aa7904671539c1677222b,,0,,,,,303,46,1,1,0,0,0
candidate,micro,group_2,warm,True,12654,12544,0,103,19,1758.263,1758.263,2333.518,3615.659,129557.256,1,False,0,0,1,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,db6c90e7175a33418f20131bd395b9e56a73e330cfa9886756fe9faa9ee47dfd,,0,,,,,379,60,1,1,0,0,2
baseline,micro,group_2,warm,True,13304,128,0,93,24,2163.983,2163.983,2283.563,3739.181,3739.197,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,db6c90e7175a33418f20131bd395b9e56a73e330cfa9886756fe9faa9ee47dfd,,0,,,,,303,53,1,1,0,0,2
baseline,micro,group_2,warm,True,13304,13184,0,75,0,1314.844,,1314.844,2958.799,2958.822,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,db6c90e7175a33418f20131bd395b9e56a73e330cfa9886756fe9faa9ee47dfd,,0,,,,,329,59,1,1,0,0,0
candidate,micro,group_2,warm,True,12654,12544,0,98,28,1236.399,1236.399,2979.509,5390.204,5390.225,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,db6c90e7175a33418f20131bd395b9e56a73e330cfa9886756fe9faa9ee47dfd,,0,,,,,324,56,1,1,0,0,0
baseline,micro,group_3,warm,True,13303,128,0,87,33,1955.902,1955.902,2270.556,3441.981,3442.042,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,78f1356c59fffaeaa0192ddeb53cc65df635300ac3c5d3c88071f96992d3eebf,,0,,,,,292,43,1,1,0,0,0
